Check_ID,Equipment_ID,Result,Inspector_Notes,Inspection_Date
1,1,Pass,Equipment functioning within acceptable parameters,2024-05-31
2,2,Conditional Pass,"Critical issues found, immediate attention required",2024-10-10
3,3,Conditional Pass,Calibration needed,2023-05-11
4,4,Fail,Safety mechanisms functioning properly,2024-06-18
5,5,Pass,Parts replacement recommended,2024-05-06
6,6,Pending Review,Calibration needed,2024-09-19
7,7,Conditional Pass,"Critical issues found, immediate attention required",2024-05-13
8,8,Fail,Wear and tear detected on moving parts,2024-03-30
9,9,Conditional Pass,Safety mechanisms functioning properly,2023-04-21
10,10,Fail,Software update required,2024-04-10
11,11,Conditional Pass,Safety mechanisms functioning properly,2024-11-17
12,12,Pass,"Minor issues detected, maintenance recommended",2024-02-18
13,13,Fail,Parts replacement recommended,2023-09-29
14,14,Fail,Equipment functioning within acceptable parameters,2023-05-30
15,15,Fail,No issues found,2024-08-31
16,16,Conditional Pass,No issues found,2024-04-17
17,17,Fail,Software update required,2024-07-17
18,18,Conditional Pass,"Minor issues detected, maintenance recommended",2023-11-01
19,19,Pass,Calibration needed,2024-02-12
20,20,Fail,Parts replacement recommended,2025-01-20
21,21,Pass,Wear and tear detected on moving parts,2024-09-26
22,22,Conditional Pass,Equipment functioning within acceptable parameters,2024-09-17
23,23,Conditional Pass,"Critical issues found, immediate attention required",2024-11-22
24,24,Pending Review,Calibration needed,2025-01-11
25,25,Conditional Pass,Noise levels above threshold,2024-11-09
26,26,Pass,Wear and tear detected on moving parts,2024-11-21
27,27,Conditional Pass,Noise levels above threshold,2023-04-22
28,28,Pass,Calibration needed,2023-08-18
29,29,Pass,Safety mechanisms functioning properly,2024-09-24
30,30,Fail,"Minor issues detected, maintenance recommended",2025-01-08
31,31,Pending Review,Wear and tear detected on moving parts,2024-11-02
32,32,Conditional Pass,Safety mechanisms functioning properly,2024-08-14
33,33,Pending Review,"Minor issues detected, maintenance recommended",2025-03-23
34,34,Conditional Pass,Parts replacement recommended,2024-02-07
35,35,Pass,Parts replacement recommended,2023-08-05
36,36,Pass,Parts replacement recommended,2024-02-27
37,37,Fail,Calibration needed,2023-09-02
38,38,Pending Review,No issues found,2024-11-29
39,39,Pass,Safety mechanisms functioning properly,2024-09-24
40,40,Fail,No issues found,2024-12-02
41,41,Pending Review,Software update required,2024-02-04
42,42,Conditional Pass,Wear and tear detected on moving parts,2024-06-26
43,43,Pass,Wear and tear detected on moving parts,2024-08-01
44,44,Conditional Pass,"Minor issues detected, maintenance recommended",2024-05-27
45,45,Pass,"Minor issues detected, maintenance recommended",2023-10-28
46,46,Conditional Pass,No issues found,2023-09-21
47,47,Pass,Wear and tear detected on moving parts,2024-12-12
48,48,Fail,Parts replacement recommended,2024-09-16
49,49,Pass,"Critical issues found, immediate attention required",2024-07-12
50,50,Conditional Pass,Software update required,2024-03-22
51,51,Fail,Calibration needed,2024-07-25
52,52,Conditional Pass,Noise levels above threshold,2024-10-22
53,53,Conditional Pass,Parts replacement recommended,2024-04-09
54,54,Conditional Pass,"Minor issues detected, maintenance recommended",2023-10-14
55,55,Pass,No issues found,2023-04-18
56,56,Fail,Software update required,2024-02-05
57,57,Pending Review,Equipment functioning within acceptable parameters,2023-08-31
58,58,Pending Review,Equipment functioning within acceptable parameters,2024-12-07
59,59,Conditional Pass,"Critical issues found, immediate attention required",2024-11-13
60,60,Fail,Noise levels above threshold,2024-10-08
61,61,Fail,"Critical issues found, immediate attention required",2025-02-09
62,62,Fail,Safety mechanisms functioning properly,2023-06-28
63,63,Conditional Pass,"Minor issues detected, maintenance recommended",2024-06-20
64,64,Conditional Pass,Safety mechanisms functioning properly,2024-04-26
65,65,Pending Review,Parts replacement recommended,2023-08-17
66,66,Conditional Pass,Noise levels above threshold,2024-10-05
