Check_ID,Equipment_ID,Result,Inspector_Notes,Inspection_Date
1,398,Pass,Equipment functioning within acceptable parameters,2024-05-31
2,364,Conditional Pass,"Critical issues found, immediate attention required",2024-10-10
3,87,Conditional Pass,Calibration needed,2023-05-11
4,295,Fail,Safety mechanisms functioning properly,2024-06-18
5,143,Pass,Parts replacement recommended,2024-05-06
6,23,Pending Review,Calibration needed,2024-09-19
7,114,Conditional Pass,"Critical issues found, immediate attention required",2024-05-13
8,29,Fail,Wear and tear detected on moving parts,2024-03-30
9,347,Conditional Pass,Safety mechanisms functioning properly,2023-04-21
10,182,Fail,Software update required,2024-04-10
11,206,Conditional Pass,Safety mechanisms functioning properly,2024-11-17
12,76,Pass,"Minor issues detected, maintenance recommended",2024-02-18
13,348,Fail,Parts replacement recommended,2023-09-29
14,146,Fail,Equipment functioning within acceptable parameters,2023-05-30
15,377,Fail,No issues found,2024-08-31
16,82,Conditional Pass,No issues found,2024-04-17
17,180,Fail,Software update required,2024-07-17
18,227,Conditional Pass,"Minor issues detected, maintenance recommended",2023-11-01
19,285,Pass,Calibration needed,2024-02-12
20,301,Fail,Parts replacement recommended,2025-01-20
21,276,Pass,Wear and tear detected on moving parts,2024-09-26
22,34,Conditional Pass,Equipment functioning within acceptable parameters,2024-09-17
23,29,Conditional Pass,"Critical issues found, immediate attention required",2024-11-22
24,314,Pending Review,Calibration needed,2025-01-11
25,327,Conditional Pass,Noise levels above threshold,2024-11-09
26,315,Pass,Wear and tear detected on moving parts,2024-11-21
27,155,Conditional Pass,Noise levels above threshold,2023-04-22
28,330,Pass,Calibration needed,2023-08-18
29,369,Pass,Safety mechanisms functioning properly,2024-09-24
30,54,Fail,"Minor issues detected, maintenance recommended",2025-01-08
31,144,Pending Review,Wear and tear detected on moving parts,2024-11-02
32,25,Conditional Pass,Safety mechanisms functioning properly,2024-08-14
33,370,Pending Review,"Minor issues detected, maintenance recommended",2025-03-23
34,189,Conditional Pass,Parts replacement recommended,2024-02-07
35,275,Pass,Parts replacement recommended,2023-08-05
36,110,Pass,Parts replacement recommended,2024-02-27
37,141,Fail,Calibration needed,2023-09-02
38,117,Pending Review,No issues found,2024-11-29
39,340,Pass,Safety mechanisms functioning properly,2024-09-24
40,29,Fail,No issues found,2024-12-02
